,Cultivar,Alcohol,Malic acid,Ash,Flavanoids,Color intensity,OD280/OD315
0,2,11.81,2.12,2.74,0.99,2.5,2.26
1,3,13.4,4.6,2.86,0.96,8.5,1.92
2,1,13.56,1.71,2.31,3.29,6.13,3.38
3,3,13.73,4.36,2.26,0.47,6.62,1.75
4,2,12.17,1.45,2.53,1.75,2.95,2.23
5,3,14.13,4.1,2.74,0.76,9.2,1.6
6,1,13.68,1.83,2.36,2.69,3.84,2.87
7,3,13.4,3.91,2.48,0.75,7.3,1.56
8,1,13.86,1.35,2.27,3.15,7.22,3.55
9,2,12.33,1.1,2.28,1.09,3.27,1.67
10,3,12.86,1.35,2.32,1.25,4.1,1.29
11,3,13.11,1.9,2.75,1.28,7.1,1.33
12,3,13.69,3.26,2.54,0.56,5.88,1.82
13,1,13.75,1.73,2.41,2.76,5.6,2.9
14,3,13.32,3.24,2.38,0.76,8.42,1.62
15,2,12.42,4.43,2.73,2.13,2.08,3.12
16,2,11.82,1.47,1.99,1.6,1.95,3.33
17,2,12.08,2.08,1.7,2.17,3.3,2.96
18,2,11.41,0.74,2.5,2.01,3.08,2.31
19,2,12.42,2.55,2.27,1.84,2.7,3.3
20,1,13.29,1.97,2.68,3.23,6.0,2.84
21,1,13.71,1.86,2.36,2.88,3.8,4.0
22,1,12.93,3.8,2.65,2.41,4.5,3.52
23,1,13.56,1.73,2.46,2.78,6.25,3.03
24,2,12.37,1.63,2.3,2.45,2.12,2.78
25,2,12.0,0.92,2.0,2.26,2.5,3.12
26,3,13.08,3.9,2.36,1.39,9.4,1.33
27,2,11.56,2.05,3.23,5.08,6.0,3.69
28,3,12.88,2.99,2.4,1.22,5.4,1.42
29,1,13.05,2.05,3.22,2.68,3.58,3.2
30,1,14.38,1.87,2.38,3.64,7.5,3.0
31,1,13.16,2.36,2.67,3.24,5.68,3.17
32,1,13.63,1.81,2.7,2.91,7.3,2.88
33,1,14.1,2.16,2.3,3.32,5.75,3.17
34,2,12.37,1.13,2.16,3.1,4.45,2.87
35,2,12.29,1.41,1.98,2.5,2.9,2.74
36,2,12.37,1.21,2.56,2.65,4.6,2.3
37,1,14.37,1.95,2.5,3.49,7.8,3.45
38,3,13.48,1.67,2.64,1.1,11.75,1.78
39,1,13.51,1.8,2.65,2.53,4.2,2.87
40,1,13.64,3.1,2.56,3.03,5.1,3.36
41,2,12.37,1.17,1.92,2.0,4.68,3.48
42,2,11.65,1.67,2.62,1.61,2.6,3.21
43,1,13.72,1.43,2.5,3.67,6.8,2.87
44,2,11.64,2.06,2.46,1.69,2.8,2.75
45,2,12.42,1.61,2.19,2.09,2.06,2.96
46,3,12.84,2.96,2.61,0.6,4.92,2.15
47,3,12.2,3.03,2.32,0.49,5.5,1.83
48,1,13.2,1.78,2.14,2.76,4.38,3.4
49,2,12.37,0.94,1.36,0.57,1.95,1.82
50,1,13.83,1.57,2.62,3.4,6.6,2.57
51,2,11.45,2.4,2.42,2.79,3.25,3.39
52,3,12.53,5.51,2.64,0.6,5.0,1.69
53,3,12.93,2.81,2.7,0.5,4.6,2.31
54,1,13.9,1.68,2.12,3.39,6.1,3.33
55,1,13.87,1.9,2.8,2.97,4.5,3.4
56,2,12.69,1.53,2.26,1.46,3.05,2.06
57,2,11.87,4.31,2.39,3.03,2.8,3.64
58,2,12.37,1.07,2.1,3.75,4.5,2.77
59,1,14.83,1.64,2.17,2.98,5.2,2.85
60,3,13.49,3.59,2.19,0.48,5.7,1.82
61,2,13.86,1.51,2.67,2.86,3.38,3.16
62,3,13.71,5.65,2.45,0.61,7.7,1.74
63,2,12.21,1.19,1.75,1.28,2.85,3.07
64,2,11.66,1.88,1.92,1.57,3.8,2.14
65,1,13.07,1.5,2.1,2.64,3.7,2.69
66,2,12.99,1.67,2.6,2.89,3.35,3.5
67,2,11.03,1.51,2.2,2.17,1.9,2.87
68,2,11.82,1.72,1.88,1.64,2.06,2.44
69,3,12.36,3.83,2.38,0.92,7.65,1.58
70,3,13.27,4.28,2.26,0.69,10.2,1.56
71,2,12.07,2.16,2.17,2.65,2.76,3.28
72,3,13.36,2.56,2.35,0.5,5.6,2.47
73,3,12.6,2.46,2.2,0.66,7.1,1.58
74,3,13.84,4.12,2.38,0.83,9.01,1.64
75,3,14.34,1.68,2.7,1.31,13.0,1.96
76,2,12.52,2.43,2.17,2.27,2.0,2.78
77,3,13.17,2.59,2.37,0.68,9.3,1.62
78,2,12.22,1.29,1.94,2.04,2.7,3.02
79,1,14.22,1.7,2.3,3.0,6.38,3.31
80,2,12.72,1.81,2.2,2.53,3.9,3.14
81,2,11.61,1.35,2.7,2.92,2.65,3.26
82,3,12.85,3.27,2.58,0.6,5.58,2.11
83,1,14.39,1.87,2.45,2.52,5.25,3.58
84,1,13.05,1.73,2.04,3.27,7.2,2.91
85,2,11.62,1.99,2.28,2.26,3.25,2.96
86,1,13.3,1.72,2.14,2.19,3.95,2.77
87,2,12.08,1.39,2.5,2.29,2.9,3.19
88,2,11.79,2.13,2.78,2.24,3.0,2.44
89,3,12.25,3.88,2.2,0.78,8.21,2.0
90,3,12.87,4.61,2.48,0.65,7.65,1.86
91,2,12.08,1.33,2.3,1.59,1.74,3.21
92,2,12.08,1.13,2.51,1.58,2.2,2.72
93,2,12.16,1.61,2.31,1.69,2.45,2.26
94,1,13.05,1.65,2.55,2.43,4.25,2.51
95,2,12.64,1.36,2.02,1.41,5.75,1.59
96,1,14.38,3.59,2.28,3.17,4.9,3.44
97,2,12.04,4.3,2.38,1.75,2.6,2.57
98,2,12.43,1.53,2.29,3.15,3.94,2.84
99,3,12.7,3.55,2.36,1.2,5.0,1.29
100,3,13.16,3.57,2.15,0.55,4.0,1.68
101,1,13.28,1.64,2.84,2.68,4.6,2.78
102,1,13.39,1.77,2.62,2.94,4.8,3.22
103,3,12.58,1.29,2.1,0.58,7.6,1.55
104,1,12.85,1.6,2.52,2.37,3.93,3.63
105,2,12.0,1.51,2.42,1.25,3.6,2.65
106,2,13.67,1.25,1.92,1.79,3.8,2.46
107,2,13.03,0.9,1.71,2.03,4.6,2.48
108,3,13.5,3.12,2.62,1.57,8.6,1.3
109,3,12.45,3.03,2.64,0.58,7.5,1.73
110,1,14.19,1.59,2.48,3.93,8.7,2.82
111,2,12.72,1.75,2.28,1.76,3.3,2.42
112,2,11.96,1.09,2.3,2.14,3.21,3.13
113,1,13.83,1.65,2.6,2.99,5.6,3.37
114,2,11.84,2.89,2.23,1.32,2.65,2.52
115,1,14.23,1.71,2.43,3.06,5.64,3.92
116,1,13.48,1.81,2.41,2.98,5.1,3.47
117,3,12.82,3.37,2.3,0.66,10.26,1.75
118,2,13.34,0.94,2.36,1.3,3.17,1.93
119,1,13.24,2.59,2.87,2.69,4.32,2.93
120,2,12.25,1.73,2.12,2.03,3.4,3.17
121,1,14.21,4.04,2.44,2.65,5.24,3.33
122,2,12.7,3.87,2.4,2.55,2.57,3.13
123,1,13.77,1.9,2.68,2.79,6.3,2.93
124,3,13.23,3.3,2.28,0.83,10.52,1.51
125,2,12.0,3.43,2.0,1.64,1.28,3.05
126,3,14.16,2.51,2.48,0.7,9.7,1.71
127,1,13.76,1.53,2.7,2.74,5.4,3.0
128,1,13.74,1.67,2.25,2.9,5.85,3.2
129,1,13.94,1.73,2.27,3.54,8.9,3.1
130,2,12.08,1.83,2.32,1.5,2.4,2.27
131,2,12.77,3.43,1.98,1.25,3.4,2.12
132,1,13.05,1.77,2.1,3.0,5.04,3.35
133,2,12.6,1.34,1.9,1.36,2.45,2.77
134,1,14.12,1.48,2.32,2.43,5.0,2.82
135,1,14.1,2.02,2.4,2.92,6.2,2.75
136,3,12.79,2.67,2.48,1.36,10.8,1.47
137,1,13.58,1.66,2.36,3.19,6.9,2.88
138,2,11.46,3.74,1.82,2.58,2.9,2.81
139,1,14.06,2.15,2.61,2.51,5.05,3.58
140,3,13.45,3.7,2.6,0.92,10.68,1.56
141,3,12.25,4.72,2.54,0.47,3.85,1.27
142,1,14.06,1.63,2.28,3.17,5.65,3.71
143,1,14.22,3.99,2.51,3.04,5.1,3.53
144,2,12.47,1.52,2.2,2.27,2.6,2.63
145,1,13.88,1.89,2.59,3.56,5.43,3.56
146,1,14.3,1.92,2.72,3.14,6.2,2.65
147,2,11.84,0.89,2.58,2.21,3.05,3.08
148,3,13.58,2.58,2.69,0.84,8.66,1.8
149,2,13.11,1.01,1.7,3.18,5.3,3.18
150,3,13.78,2.76,2.3,0.68,9.58,1.68
151,2,13.05,5.8,2.13,2.65,2.6,3.1
152,3,12.81,2.31,2.4,1.09,5.7,1.36
153,1,14.02,1.68,2.21,2.33,4.7,3.59
154,1,13.82,1.75,2.42,3.74,7.05,3.26
155,2,12.67,0.98,2.24,1.94,2.62,3.16
156,3,13.88,5.04,2.23,0.34,4.9,1.33
157,2,13.49,1.66,2.24,1.84,3.74,2.78
158,2,12.29,2.83,2.22,2.25,2.15,3.3
159,1,13.24,3.98,2.29,2.63,4.36,3.0
160,3,12.51,1.24,2.25,0.58,5.45,1.51
161,3,13.17,5.19,2.32,0.63,7.9,1.48
162,3,12.96,3.45,2.35,0.7,5.28,1.75
163,3,13.52,3.17,2.72,0.52,4.35,2.06
164,3,12.77,2.39,2.28,0.51,9.899999,1.63
165,1,14.2,1.76,2.45,3.39,6.75,2.85
166,2,12.29,1.61,2.21,1.02,3.05,1.82
167,2,12.33,0.99,1.95,1.85,3.4,2.31
168,1,13.5,1.81,2.61,2.61,3.52,3.82
169,3,13.62,4.95,2.35,0.8,4.4,2.05
170,1,13.41,3.84,2.12,2.68,4.28,3.0
171,2,12.34,2.45,2.46,2.11,2.8,3.38
172,2,12.29,3.17,2.21,2.99,2.3,2.83
173,1,14.75,1.73,2.39,3.69,5.4,2.73
174,2,11.76,2.68,2.92,2.03,3.8,2.5
175,2,12.51,1.73,1.98,1.92,2.94,3.57
176,1,13.73,1.5,2.7,3.25,5.7,2.71
177,2,13.05,3.86,2.32,1.59,4.8,2.01
